family,key,relL2_oracle,relL2_random,relL2_sigma_0.25,relL2_sigma_0.5,relL2_sigma_1.0,relL2_zero
sparc_1530,run31_sparc_1530,0.38921564477511716,1.366756573678031,0.45423325884406734,0.6417430276190612,0.9552102962679263,1.4046548927130076
sparc_1353,run59_sparc_1353,0.27957257800238117,1.3623303242894103,0.3671089091280036,0.5281942837051914,0.7947765147225077,0.7167170228122756
sparc_1303,run97_sparc_1303,0.41825343301674434,1.313934011822035,0.48136732853674086,0.6055489815464056,0.8919033993611557,0.7896776430291902
sparc_1593,run80_sparc_1593,0.15957524539322554,1.4487403690244698,0.34193307796321815,0.40326735460706614,0.6199353331756722,1.574915393187093
sparc_1411,run5_sparc_1411,0.37044084001017125,1.2374879110162158,0.45211111401684845,0.684577083164304,0.9361958705917112,1.4345679214666553
sparc_1304,run20_sparc_1304,0.5410431656493173,1.4435746150425566,0.6085760808086237,0.7268572066108546,1.0299701671920993,1.4152540754248308
sparc_1511,run42_sparc_1511,0.15856222400239026,1.3937000923830787,0.2969274727219543,0.46516249753049516,0.9558888108280157,1.7737242725529232
sparc_1501,run89_sparc_1501,0.5731977546568611,1.3016963175699265,0.6111199340305092,0.6794776928284225,0.9694502168719595,0.8518960184629296
sparc_1427,run35_sparc_1427,0.538824629088593,1.2844411922087289,0.571607787482125,0.6630325284892801,0.9363262037180416,1.073959966858924
sparc_1504,run93_sparc_1504,0.27428607783242737,1.4539337077587546,0.42461914020940367,0.7243675174009244,1.174946436345161,1.3659087042206919
sparc_1423,run46_sparc_1423,0.2811460368035505,1.4818622871169083,0.3940265894856972,0.539664563667958,0.7651682801996204,0.5955415634197799
sparc_1352,run30_sparc_1352,0.2855878689846009,1.0711489526125102,0.3338096053499341,0.49550037610315917,0.8316342799345265,1.2684384687894066
sparc_1506,run99_sparc_1506,0.7451455282778447,1.3153578393797796,0.763356502536333,0.8239080460044496,0.9837265236601757,1.0569090364241633
sparc_1308,run47_sparc_1308,0.6079275253819418,1.1693376467872445,0.6372591519514929,0.7293217713739887,0.9461428589147832,1.2921105095319387
sparc_1353,run96_sparc_1353,0.2353058783247591,1.1911216268239733,0.3625310800805382,0.5090981257493029,0.7715746987807692,1.1843508098293625
sparc_1317,run85_sparc_1317,0.6049978662142758,1.512416874359962,0.6598639320066736,0.7487258255563236,1.3148213564883342,1.5238077151412999
sparc_1314,run15_sparc_1314,0.3023689544160415,1.287662932083789,0.3914973312558408,0.4879087002667037,0.9934287119962879,0.5893059426910386
sparc_1525,run98_sparc_1525,0.1456700638124333,1.399214795488553,0.31424715396998354,0.5541632803257577,0.7847105124898125,1.5317725190795202
sparc_1528,run99_sparc_1528,0.9385190832078691,1.2469991231139737,0.9320782702116814,0.9533347920764432,1.0742182542417358,1.039424880434037
sparc_1314,run37_sparc_1314,0.32234919815629237,1.2586537577799364,0.39256508153819253,0.517484530272631,0.7925551836459289,1.4380073954810622
sparc_1429,run16_sparc_1429,0.4502720196392424,1.340048651905012,0.5069829275841551,0.6941851848002701,0.9532186164592983,1.0024203969057413
sparc_1427,run8_sparc_1427,0.606355876130038,1.1784570131488157,0.6344811933778395,0.7142893989626771,0.858287202761001,0.8894096733733162
sparc_1305,run57_sparc_1305,0.5193966885359796,1.263474767174521,0.5590260553950385,0.7150173496409896,0.9323321173666388,0.8498750580759172
sparc_1311,run71_sparc_1311,0.13053924647808876,1.5394274301511046,0.28694278276744245,0.4816198714341242,0.9967988067373721,0.3363621647600778
sparc_1403,run2_sparc_1403,0.5234112946968,1.3192608545260491,0.5717535616098981,0.6609975704157232,0.8590439252878291,1.1212062597353727
sparc_1521,run3_sparc_1521,0.6726656374261731,1.4811192747282989,0.7080250852618207,0.7894609512748143,0.9877335692621211,1.221866776868027
sparc_1520,run81_sparc_1520,0.7075085118445993,1.4110998835661424,0.7496368971825607,0.849456737447575,1.0566115557608158,1.0230615644820937
sparc_1422,run13_sparc_1422,0.41807477638716234,1.2452504703108365,0.4547785006502253,0.586157128526812,0.911638975936444,1.1653174035737959
sparc_1302,run72_sparc_1302,0.7575043024115442,1.156689512554596,0.7723658873558463,0.8158404381378915,0.9393028156548845,1.211933755634395
sparc_1318,run66_sparc_1318,0.2638401039376164,1.4505104861072542,0.3235932358139138,0.44117010780817784,0.982288498745693,0.8604941812065285
sparc_1363,run49_sparc_1363,1.0371219544090686,1.5338004441635915,1.096451150181476,1.2079248058732779,1.2679753080313958,1.155360063978006
sparc_1420,run91_sparc_1420,0.6063834145987205,1.2514016487437405,0.6341856228514154,0.696850690763753,0.9549834487700231,1.1558514715744352
sparc_1401,run63_sparc_1401,0.9977346956471165,1.2807750690413948,1.0268612019295118,1.042894967988074,1.1398396490695792,1.0448379460299595
sparc_1356,run57_sparc_1356,0.39572988499673095,1.3668777712039353,0.4465038625045005,0.5852388549184263,0.8150489651236451,1.292915138061999
sparc_1523,run73_sparc_1523,0.35573381402895105,1.2215305027972596,0.419244920540125,0.47728131217190406,1.1872452874985728,1.8966854991018423
sparc_1358,run32_sparc_1358,0.35811251561298396,1.2307525052328252,0.45754538296171854,0.547964319080947,0.8232251598434442,1.2931131261653577
sparc_1307,run92_sparc_1307,0.7323967788739643,1.5813726544195827,0.8248604214898463,0.7822358459109834,1.0841818727209114,1.2055427784100587
sparc_1413,run91_sparc_1413,0.5731841369191277,1.359698278846247,0.5982209131448283,0.7674356981832238,0.939194625994343,1.054040063592179
sparc_1356,run17_sparc_1356,0.24624947024845423,1.1943353759425102,0.3398663181594455,0.5549176290045603,0.9789140737218214,1.3685351948569404
sparc_1530,run67_sparc_1530,0.6881704071871669,1.3856118305559648,0.6955761020276183,0.786018452109403,1.0316130364254064,1.2755557904736896
sparc_1358,run36_sparc_1358,0.26499314865132684,1.4468545664186128,0.3416479050870568,0.5578542961143718,0.925350858596562,1.5666228835152054
sparc_1430,run59_sparc_1430,0.5433635831885228,1.29904265388435,0.5893227435612525,0.6853067280868145,0.903542169463294,1.016051062904456
sparc_1430,run60_sparc_1430,0.7009662400683659,1.2885339819930168,0.7237401334706576,0.7883110846683081,0.9810575338993904,1.2038984367800425
sparc_1351,run74_sparc_1351,0.46613694373081305,1.417111177133555,0.5299182083458996,0.6227966781375035,1.1649536792958992,0.5731266587861655
sparc_1317,run35_sparc_1317,0.3527345912741683,1.265144205288474,0.42991418123940656,0.5394909306425716,0.9438315738278062,1.4054863379678169
sparc_1352,run83_sparc_1352,0.7694582708426346,1.2625670891670462,0.7868920363366997,0.823826024560726,1.0570414895945242,0.8914554813228828
