family,key,relL2_oracle,relL2_random,relL2_sigma_0.25,relL2_sigma_0.5,relL2_sigma_1.0,relL2_zero
sparc_1525,run65_sparc_1525,1.3044794223917087,1.8172639407262008,1.2944065833912024,1.422157427778141,1.5232869666801248,1.1329732930944425
sparc_1413,run96_sparc_1413,2.084993797934236,2.8786396216995613,2.2393223327344067,2.190116364161365,2.647680450030341,1.428998818484099
sparc_1507,run4_sparc_1507,2.6725511990227275,3.5161913518815258,2.7503256637354525,2.7271637288419663,3.0009215483514886,1.5132786206771107
sparc_1308,run12_sparc_1308,1.3761113867082844,1.9867309367949098,1.4324940709726868,1.6187150812835551,1.7366351580035226,1.204280373212962
sparc_1502,run22_sparc_1502,1.4060779474160396,2.2757005559697245,1.4472441813250523,1.5213592394482487,1.9199863038756713,1.2185707164694626
sparc_1429,run58_sparc_1429,1.7066327576027664,2.621779521943381,1.7392577625958858,1.8941887067745413,1.959716947926086,1.3171044928695232
sparc_1528,run28_sparc_1528,1.1049742397435596,1.5109336798363373,1.1347352383547271,1.151905366318731,1.4332224364698067,1.116048332347288
sparc_1410,run46_sparc_1410,1.6412805875842293,2.5225458231471967,1.6856081195553332,1.6939001624255874,1.9500388468959733,1.2473003519521284
sparc_1593,run63_sparc_1593,1.0386748319705317,1.467584252649098,1.0569232689546937,1.083942737655026,1.215615945572818,1.0619367281863303
sparc_1400,run90_sparc_1400,1.1526740187328635,1.685560853995024,1.167995086647684,1.144909315667556,1.3948950904995707,1.1425443057107079
sparc_1352,run71_sparc_1352,1.4831240383015964,1.8774608071950187,1.4762569965940822,1.594823550925003,1.8867246444195123,1.2231229142422246
sparc_1360,run64_sparc_1360,2.883200067002927,5.259512582782619,2.958272838681636,3.314284728620159,3.859800728642483,1.8317507751790234
sparc_1308,run38_sparc_1308,1.2589971920716896,1.8920834863972058,1.3004823610163867,1.409049615849944,1.4826071318502956,1.169300031005962
sparc_1417,run89_sparc_1417,1.4435083958175172,2.7971567134607622,1.4833705857990684,1.5346970624358225,2.2899439866845386,1.3449995777129848
sparc_1500,run64_sparc_1500,0.9893515933082094,1.6240145369059191,1.0123194559479507,1.0343938050561423,1.3141076375315102,1.0629220986887835
sparc_1441,run62_sparc_1441,1.540759433526238,2.2217442688014595,1.5998875136584103,1.6951668313898987,2.0194814860720296,1.24705173984176
sparc_1440,run62_sparc_1440,1.5803132368692403,2.3070630416542217,1.5628680009131999,1.6698782264975052,1.985049300620775,1.2507132677524422
sparc_1515,run9_sparc_1515,1.8625570126574176,2.416979926504742,1.8929254356336258,1.8531071622932902,2.3085589829541675,1.3190326169115907
sparc_1593,run4_sparc_1593,1.8466026809297698,2.556801371158978,1.869097306724805,1.9464220320701846,2.140196392307211,1.2475165560242063
sparc_1313,run45_sparc_1313,1.7296404389223718,2.43404330019759,1.7810109172188338,1.8626369674031902,2.202623209669594,1.3172061154375208
sparc_1355,run28_sparc_1355,2.1905477746456854,3.7122966850979062,2.2522660749942474,2.185975568406983,2.5538590964210672,1.5258100189917811
sparc_1409,run53_sparc_1409,2.123541683018477,3.471236633488927,2.0757789815064416,2.3650983222910704,2.828079252790409,1.4546225612216168
sparc_1360,run48_sparc_1360,2.239103353594118,3.2548680520789595,2.291353708432401,2.5544432203473484,2.600918500289387,1.4378117185978516
sparc_1421,run57_sparc_1421,2.4078508260289624,2.911563933781317,2.362036693392984,2.437930450529246,2.7188368287611344,1.4527977230022044
sparc_1507,run1_sparc_1507,1.1644118186726486,1.662146261441293,1.1751712993973125,1.263754493896283,1.5562574594800795,1.1018583003604738
sparc_1428,run25_sparc_1428,1.7003140127160716,2.4514448352141938,1.7871663137431264,1.8375983391473438,2.191086954652344,1.2652097220684317
sparc_1430,run92_sparc_1430,1.199214333644866,1.6174546888702244,1.21144502567606,1.2439774554313123,1.383450128942389,1.0955082735281927
