key,family,relL2_spectrum_fno48_floor6_smooth1_qc,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc_mhi100,relL2_alpha_spectrum_fno48_floor6_smooth1_qc,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_mhi100,patR2_spectrum_fno48_floor6_smooth1_qc,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc_mhi100,crf_spectrum_fno48_floor6_smooth1_qc,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc_mhi100,winner
run58_sparc_1512,sparc_1512,0.741774,0.665613,0.823508,0.641294,0.605275,0.751160,0.910399,0.914713,0.937390,0.762144,0.762541,0.722623,spectrum_fno48_floor6_smooth1_qc_peak4
run58_sparc_1516,sparc_1516,0.793498,0.687018,0.832276,0.684373,0.597768,0.746083,0.907478,0.909398,0.932105,0.426898,0.695879,0.792974,spectrum_fno48_floor6_smooth1_qc_peak4
run58_sparc_1522,sparc_1522,0.700387,0.806258,1.012818,0.689097,0.752720,0.858092,0.893248,0.895259,0.905372,0.711522,0.890765,0.959399,spectrum_fno48_floor6_smooth1_qc
run58_sparc_1527,sparc_1527,1.075380,1.141937,1.386468,0.800049,0.845065,0.963579,0.908604,0.923485,0.923814,0.636607,0.660764,0.804492,spectrum_fno48_floor6_smooth1_qc
run58_sparc_1593,sparc_1593,0.943309,0.949142,1.478973,0.766965,0.781906,0.937963,0.844859,0.838248,0.906464,0.671380,0.873582,0.903168,spectrum_fno48_floor6_smooth1_qc
run59_sparc_1300,sparc_1300,0.631030,0.660341,0.670893,0.614982,0.608510,0.646033,0.972582,0.972165,0.972148,0.827800,0.830175,0.865192,spectrum_fno48_floor6_smooth1_qc
run59_sparc_1314,sparc_1314,0.744506,0.696313,0.921058,0.733432,0.694343,0.901151,0.942029,0.940077,0.948473,0.692274,0.810173,0.527313,spectrum_fno48_floor6_smooth1_qc_peak4
run59_sparc_1315,sparc_1315,0.723307,0.676892,0.859574,0.716542,0.670045,0.853733,0.939302,0.941271,0.939038,0.685553,0.854414,0.634799,spectrum_fno48_floor6_smooth1_qc_peak4
run59_sparc_1316,sparc_1316,0.724827,0.659943,0.777338,0.724318,0.659656,0.774771,0.936916,0.937178,0.933029,0.674929,0.910828,0.845227,spectrum_fno48_floor6_smooth1_qc_peak4
run59_sparc_1317,sparc_1317,0.740827,0.679959,0.790971,0.740252,0.679911,0.788445,0.935172,0.938023,0.931739,0.712336,0.872758,0.786543,spectrum_fno48_floor6_smooth1_qc_peak4
run59_sparc_1319,sparc_1319,0.767567,0.683084,0.789370,0.763399,0.680802,0.784516,0.938530,0.935909,0.939535,0.739724,0.786043,0.690259,spectrum_fno48_floor6_smooth1_qc_peak4
run59_sparc_1353,sparc_1353,0.739966,0.674048,0.865219,0.738303,0.673445,0.859506,0.928724,0.926947,0.934078,0.676047,0.860211,0.819750,spectrum_fno48_floor6_smooth1_qc_peak4
run59_sparc_1359,sparc_1359,0.705300,0.672993,0.800402,0.702269,0.670609,0.800401,0.942285,0.942769,0.950225,0.664176,0.830974,0.670694,spectrum_fno48_floor6_smooth1_qc_peak4
run59_sparc_1363,sparc_1363,0.748832,0.712086,0.867304,0.748590,0.707315,0.855721,0.927007,0.931444,0.925597,0.629715,0.890004,0.869307,spectrum_fno48_floor6_smooth1_qc_peak4
run59_sparc_1402,sparc_1402,0.690036,0.831984,0.896097,0.651423,0.606983,0.756858,0.946372,0.942183,0.961677,0.694168,0.749385,0.645112,spectrum_fno48_floor6_smooth1_qc
run59_sparc_1407,sparc_1407,0.958064,0.954398,1.139516,0.793943,0.796497,0.922075,0.930322,0.926260,0.933401,0.756286,0.754168,0.871886,spectrum_fno48_floor6_smooth1_qc_peak4
run59_sparc_1412,sparc_1412,0.776469,0.711951,0.884972,0.754666,0.691602,0.883501,0.938956,0.941474,0.948694,0.692576,0.807568,0.570969,spectrum_fno48_floor6_smooth1_qc_peak4
run59_sparc_1416,sparc_1416,0.731616,0.666194,0.813416,0.724063,0.656754,0.813132,0.939165,0.939600,0.943289,0.746109,0.838010,0.678597,spectrum_fno48_floor6_smooth1_qc_peak4
run59_sparc_1423,sparc_1423,0.908347,0.711914,0.904609,0.812041,0.702166,0.846390,0.926718,0.931412,0.940794,0.805344,0.741692,0.793866,spectrum_fno48_floor6_smooth1_qc_peak4
run59_sparc_1424,sparc_1424,0.841001,0.693554,0.904649,0.788824,0.688964,0.862279,0.936035,0.930068,0.945951,0.749055,0.777882,0.738580,spectrum_fno48_floor6_smooth1_qc_peak4
run59_sparc_1426,sparc_1426,0.718266,0.762487,1.066717,0.689276,0.719408,0.922175,0.931190,0.925086,0.944088,0.682823,0.799446,0.857696,spectrum_fno48_floor6_smooth1_qc
run59_sparc_1430,sparc_1430,0.897862,0.765942,0.942673,0.711446,0.709781,0.822627,0.754515,0.701956,0.694692,0.957679,0.956421,0.926905,spectrum_fno48_floor6_smooth1_qc_peak4
run59_sparc_1512,sparc_1512,0.765334,0.710869,0.847509,0.745062,0.672006,0.845026,0.940950,0.941747,0.946946,0.752870,0.826892,0.646478,spectrum_fno48_floor6_smooth1_qc_peak4
run5_sparc_1302,sparc_1302,0.639744,0.609886,0.958861,0.580330,0.568335,0.794390,0.875492,0.858598,0.871799,0.977156,0.975905,0.951471,spectrum_fno48_floor6_smooth1_qc_peak4
run5_sparc_1307,sparc_1307,0.972238,0.948843,1.003629,0.771861,0.736606,0.854990,0.935245,0.917819,0.939908,0.768028,0.808466,0.805077,spectrum_fno48_floor6_smooth1_qc_peak4
run5_sparc_1314,sparc_1314,0.693676,0.752547,0.801505,0.668999,0.716102,0.723110,0.900510,0.898248,0.928971,0.617301,0.520284,0.788548,spectrum_fno48_floor6_smooth1_qc
run5_sparc_1317,sparc_1317,0.744982,0.686567,0.792766,0.708412,0.667209,0.733280,0.892121,0.894227,0.922393,0.578973,0.633226,0.761954,spectrum_fno48_floor6_smooth1_qc_peak4
