key,family,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,winner
run37_sparc_1317,sparc_1317,0.682301,0.680822,0.696472,0.680290,0.674076,0.694245,0.915206,0.926463,0.945710,0.926852,0.814914,0.937744,spectrum_fno48_floor6_smooth1_qc_peak4
run37_sparc_1318,sparc_1318,0.675942,0.678371,0.694683,0.675023,0.670145,0.692876,0.929551,0.935522,0.955012,0.890511,0.724953,0.869788,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run37_sparc_1359,sparc_1359,0.661597,0.691356,0.671927,0.654501,0.690457,0.668528,0.934468,0.935367,0.942395,0.891030,0.764721,0.895025,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run37_sparc_1364,sparc_1364,0.706601,0.741375,0.729682,0.698906,0.740276,0.726479,0.929678,0.933092,0.916231,0.905930,0.786640,0.935436,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run37_sparc_1400,sparc_1400,0.650750,0.617010,0.590786,0.650348,0.616879,0.587646,0.947114,0.969381,0.971991,0.941448,0.852748,0.955718,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run37_sparc_1402,sparc_1402,0.767145,0.685954,0.464128,0.545325,0.630067,0.382069,0.928127,0.938595,0.955198,0.955368,0.877977,0.976094,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run37_sparc_1403,sparc_1403,0.828880,0.997923,0.718740,0.739810,0.777570,0.689228,0.902214,0.916415,0.945478,0.943380,0.847516,0.776905,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run37_sparc_1406,sparc_1406,0.875535,0.953271,0.864743,0.742636,0.792531,0.737972,0.934459,0.938975,0.929555,0.907098,0.900363,0.951415,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run37_sparc_1407,sparc_1407,0.742594,0.886375,0.737607,0.713404,0.766183,0.715049,0.929854,0.932022,0.938330,0.869421,0.828371,0.920009,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run37_sparc_1408,sparc_1408,0.700214,0.726219,0.686503,0.698633,0.715406,0.683145,0.920457,0.928829,0.936051,0.923624,0.920133,0.893444,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
