key,family,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,winner
run25_sparc_1505,sparc_1505,0.917203,1.135667,0.409579,0.705199,0.782345,0.387089,0.936575,0.934153,0.871233,0.921703,0.806056,0.728177,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run25_sparc_1511,sparc_1511,0.561055,0.634680,0.355325,0.551312,0.621328,0.354842,0.924628,0.925030,0.886578,0.935412,0.732370,0.597746,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run25_sparc_1513,sparc_1513,0.547215,0.579188,0.339202,0.544242,0.575568,0.337616,0.917610,0.919444,0.831000,0.914025,0.678820,0.577226,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run25_sparc_1514,sparc_1514,0.548993,0.592141,0.322323,0.545397,0.589376,0.318485,0.914854,0.916858,0.813486,0.908985,0.751169,0.552575,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run25_sparc_1515,sparc_1515,0.539262,0.580709,0.311309,0.537720,0.569799,0.308092,0.913596,0.915502,0.819916,0.932819,0.732843,0.487606,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run25_sparc_1523,sparc_1523,0.468263,0.729903,0.312849,0.467572,0.660783,0.308612,0.894151,0.897771,0.772179,0.917076,0.867992,0.640605,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run25_sparc_1525,sparc_1525,0.910809,1.148445,0.544491,0.721947,0.816046,0.445214,0.946533,0.946657,0.896821,0.742164,0.787529,0.618284,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run25_sparc_1527,sparc_1527,0.998834,1.303077,0.578948,0.781995,0.860772,0.476213,0.917751,0.886980,0.864299,0.948872,0.918340,0.838999,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run26_sparc_1305,sparc_1305,1.083283,1.394205,0.671699,0.805549,0.856661,0.523794,0.923219,0.884117,0.775543,0.921930,0.847865,0.730833,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run26_sparc_1314,sparc_1314,0.550498,0.607363,0.333666,0.538085,0.573509,0.327078,0.907557,0.907798,0.856860,0.929192,0.565982,0.608090,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
