case_idx,Converged,Target R0 [m],Target Z0 [m],Target a [m],Target kappa,Target delta,Target Ip [A],Target ffp_alpha,Target ffp_beta,Target pp_alpha,Target pp_beta,Bt [T],CS [A-turn],PF1AL [A-turn],PF1AU [A-turn],PF1BL [A-turn],PF1BU [A-turn],PF1CL [A-turn],PF1CU [A-turn],PF2L [A-turn],PF2U [A-turn],PF3L [A-turn],PF3U [A-turn],PF4L [A-turn],PF4U [A-turn],PF5L [A-turn],PF5U [A-turn],type,R,Z,error,mdsplus_path,value
9308,True,0.9319501125269264,0.0078361002438231,0.4555953500511589,1.9702421292881405,0.1651128119777225,1145447.730270927,,,,,1.0,22400.0,11079.954917695426,11077.833015655997,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,-779.915914359319,-892.9602743306194,1500.0,1500.0,-13475.56694357343,-13461.19123508274,flux_loop,0.3148,1.0428488876128712,,,0.1079457930781285
9309,True,0.8665393653277171,-0.048887463315963,0.5444634879349577,1.465004579064171,-0.212902830630839,926331.8426554612,,,,,1.0,22400.0,-1500.0,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,2443.535819815995,2186.499744069285,1500.0,1500.0,-12946.304507649347,-11915.012869077656,flux_loop,0.3148,1.0428488876128712,,,0.0356295043044918
9310,True,0.8869228698366177,0.032367181479729,0.4640211033407548,3.15964438088786,0.06118581535506,617300.3311284389,,,,,1.0,22400.0,3432.007409985597,3005.3796729334063,-9200.0,-9200.0,7086.721089612946,6313.59409292388,976.8114161758334,1509.0063282291649,487.7590621062844,211.37072137458225,1500.0,1500.0,-8137.492382683704,-8391.472749642044,flux_loop,0.3148,1.0428488876128712,,,0.0795198300791586
9311,True,0.92727202335868,0.0238928582703672,0.4964310883653888,3.1503889779300955,-0.393350180168199,1185611.975738246,,,,,1.0,13888.923194376424,10259.186313796874,7714.4629882021,-1086.1643602150757,5685.789211103795,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,5233.49095597927,4746.588729118011,1500.0,1500.0,-16932.365276141965,-17449.364346646584,flux_loop,0.3148,1.0428488876128712,,,0.1153598892807735
9312,True,0.8725008165261735,0.0117812981825064,0.5444252655813182,1.5247388351260782,0.5731217083412342,743005.2034665039,,,,,1.0,22400.0,16800.0,16800.0,9200.0,9200.0,7100.0,7100.0,5505.127311219895,1093.348652076642,-16053.684272965733,-14546.315727034267,-9200.0,-9200.0,225.4644873372441,391.2560668705329,flux_loop,0.3148,1.0428488876128712,,,0.1114846569466041
9313,True,0.9295425905130384,0.0109354771920953,0.4955263792066384,1.488675518761026,-0.1399626382757675,834419.4395888585,,,,,1.0,22400.0,-1500.0,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,1493.8815488319324,1575.8205492913678,1500.0,1500.0,-10581.219483094324,-10751.258874478368,flux_loop,0.3148,1.0428488876128712,,,0.0380079904420163
9314,True,0.8645019222373688,0.0318443095401165,0.5246847400634239,2.476704805615843,0.3594644616062012,809807.4142504714,,,,,1.0,22400.0,7723.559476503504,6377.124351194721,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,5779.729263948528,7685.512879926686,-1288.0437790416738,-2170.728119997342,1500.0,1500.0,-10211.08066617962,-10100.747773643669,flux_loop,0.3148,1.0428488876128712,,,0.0903976444981991
9315,True,0.9103925532232272,0.0274221682250758,0.4935776150258388,2.019997938536563,-0.0896741757298608,1162971.5820016286,,,,,1.0,22400.0,-1500.0,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,4389.174849978758,4226.289814095376,1500.0,1500.0,-14975.41716829689,-15499.91776746764,flux_loop,0.3148,1.0428488876128712,,,0.0649010125000327
9316,True,0.8950170116289549,-0.0181386404989851,0.4558129967894109,2.2213461914954076,-0.117806335930613,943197.3580502992,,,,,1.0,22400.0,-963.2998781424552,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,4644.259080881667,5012.566109598818,1500.0,1500.0,-13300.215928887406,-13081.164472926175,flux_loop,0.3148,1.0428488876128712,,,0.0539092441057942
9317,True,0.9293553955237076,-0.0185947113469085,0.5080699875732025,1.8195805546022663,0.153891884874311,1000388.9123384592,,,,,1.0,22400.0,8389.074810797867,8376.705054012846,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,-907.2482698961444,-610.4672707393187,1500.0,1500.0,-11805.793936092474,-11842.917886352516,flux_loop,0.3148,1.0428488876128712,,,0.08463716319411
9318,True,0.9021581955540262,-0.0081343199644233,0.5402278091567455,1.4249806117288406,-0.0432657048363886,508733.1372829187,,,,,1.0,22400.0,-1500.0,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,1273.6437258265444,1253.7840664226426,1500.0,1500.0,-6962.837564814837,-6890.720223038224,flux_loop,0.3148,1.0428488876128712,,,0.0235657721156686
9319,True,0.91929333400936,0.0118662336396716,0.5281262330355884,3.074593602996182,0.4398395132900542,702621.7427368659,,,,,1.0,-22400.0,4464.404545672961,3944.586984127864,-8813.141735244002,-6382.613504556367,4413.800340524675,2713.3873338378476,1896.7654721502904,1873.722172793549,-978.6586163992037,-1033.9658077959168,1500.0,1500.0,-8413.95170269605,-8483.629738133506,flux_loop,0.3148,1.0428488876128712,,,0.0127539888608159
9320,True,0.9124406991350849,0.0396567174974604,0.5309028162981492,2.8560571360118647,0.0647738081608554,793966.8059007976,,,,,1.0,22400.0,3454.647752767119,3161.3004505480703,-7147.0982236650025,-9191.203609058866,7100.0,7100.0,-259.015450667053,823.7815537682909,1075.849756429671,578.3209102225105,1500.0,1500.0,-10075.109896677524,-10479.73134670114,flux_loop,0.3148,1.0428488876128712,,,0.088727652036431
9321,True,0.8515697903628451,0.0199166990524571,0.5026573002345223,2.154601133168255,0.2397335129984656,1133428.219506854,,,,,1.0,22400.0,13387.354520274395,11160.599826970823,-9200.0,-9200.0,-6299.999999999999,-1179.7335795004649,-1500.0,-1500.0,-125.73181690973358,-734.399392629174,1500.0,1500.0,-14532.82967938733,-14506.38234080111,flux_loop,0.3148,1.0428488876128712,,,0.1116327424396384
9322,True,0.903699763468387,0.0307223628578589,0.4873285662906756,1.9357440728408677,-0.2076241873946878,898144.486422145,,,,,1.0,22400.0,-1500.0,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,4152.646664885426,4081.411949771997,1500.0,1500.0,-11893.162666401257,-12476.272889401764,flux_loop,0.3148,1.0428488876128712,,,0.0532814299831324
9323,True,0.9351819356431116,0.0032931796141995,0.4639734548016538,2.8043728384983595,-0.4276644248959436,721700.7221608267,,,,,1.0,22400.0,7410.257740399786,7645.279992721162,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,6678.983267084305,6602.748211332158,1500.0,1500.0,-12513.012676328324,-12577.564638101418,flux_loop,0.3148,1.0428488876128712,,,0.0885524769718935
9324,True,0.8785486387135759,-0.0052916597733289,0.5299801791167698,2.1112562252532543,0.0595740722616209,718294.6014073044,,,,,1.0,22400.0,-1135.6543260532958,-944.1465339013282,9200.0,9200.0,-4680.552834131774,-5210.159775775339,-1500.0,-1500.0,634.7350222538183,748.7101194137521,1500.0,1500.0,-9379.598621759427,-9371.21561602751,flux_loop,0.3148,1.0428488876128712,,,0.0646598186448192
9325,True,0.8950626420404655,-0.0130559465415817,0.5411785010909784,2.8750815579228597,0.3450836606859208,829009.0966325707,,,,,1.0,22400.0,3677.595907378845,4068.6417325999946,-8120.027215499038,-9200.0,4416.797217275704,4085.5752814156,2312.19455202954,2757.7985194478256,-1229.0451619136336,-1187.642061188533,1500.0,1500.0,-9575.36989447791,-9474.633252460791,flux_loop,0.3148,1.0428488876128712,,,0.0899987431479061
9326,True,0.9236759777301348,-0.0413087227719489,0.4743542722703066,2.2991126868307985,-0.3644261325987293,1186533.682352891,,,,,1.0,22400.0,4466.629358103541,4955.735103373519,9200.0,9200.0,7100.0,7100.0,11200.0,11200.0,8456.665453204574,7943.334546795426,-4991.432982966124,-4652.733287357917,-18400.0,-18400.0,flux_loop,0.3148,1.0428488876128712,,,0.1497170766143862
