key,family,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc,relL2_spectrum_fno48_floor6_smooth1_qc_mhi100,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_mhi100,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc,patR2_spectrum_fno48_floor6_smooth1_qc_mhi100,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc,crf_spectrum_fno48_floor6_smooth1_qc_mhi100,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,winner
run11_sparc_1427,sparc_1427,0.954139,1.236566,1.107822,0.844520,0.814251,0.943877,0.904751,0.718496,0.741548,0.478796,0.465015,0.622592,0.948504,0.965513,0.968256,0.978710,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1429,sparc_1429,0.785166,0.826622,0.864819,0.776570,0.780048,0.811272,0.845581,0.774681,0.860571,0.857017,0.895702,0.866658,0.856216,0.763545,0.860004,0.973031,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1503,sparc_1503,0.948372,0.703826,1.211437,0.555272,0.764955,0.681437,0.881274,0.554248,0.907067,0.921900,0.943180,0.919632,0.886046,0.759543,0.528940,0.886285,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1515,sparc_1515,0.635945,0.585929,1.023098,0.538569,0.635545,0.583655,0.864570,0.538106,0.879998,0.884363,0.897519,0.889351,0.324720,0.144557,0.815510,0.841596,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1519,sparc_1519,0.779615,1.080184,0.965805,0.537793,0.750890,0.812275,0.833959,0.535151,0.842153,0.829525,0.875304,0.856214,0.884174,0.965970,0.917744,0.856705,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1520,sparc_1520,0.669329,0.696452,0.946722,0.510811,0.645511,0.676445,0.810922,0.510802,0.885385,0.874914,0.913847,0.869658,0.830988,0.440529,0.890704,0.774560,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run11_sparc_1521,sparc_1521,0.851567,0.796317,1.110902,0.654748,0.791243,0.757240,0.897761,0.637299,0.874224,0.853671,0.881832,0.877297,0.864011,0.512194,0.976872,0.733594,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1300,sparc_1300,0.414612,0.468290,0.475988,0.391896,0.411106,0.434070,0.475859,0.391765,0.991262,0.990987,0.990582,0.984914,0.923728,0.745519,0.882001,0.969198,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1301,sparc_1301,0.627342,0.683288,0.700254,0.640432,0.619993,0.663128,0.689426,0.624450,0.951394,0.940834,0.950915,0.951808,0.914491,0.978098,0.977610,0.844912,spectrum_fno48_floor6_smooth1_qc_peak4
run12_sparc_1308,sparc_1308,1.118520,1.201316,1.146241,0.959965,0.790862,0.791918,0.861933,0.739005,0.929904,0.936823,0.952750,0.929784,0.808322,0.770901,0.730763,0.827083,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1313,sparc_1313,0.656968,0.512824,0.812473,0.593981,0.604727,0.508648,0.724084,0.565444,0.900990,0.907529,0.933680,0.896982,0.691554,0.639842,0.416472,0.950137,spectrum_fno48_floor6_smooth1_qc
run12_sparc_1314,sparc_1314,0.638866,0.493007,0.806270,0.598456,0.594111,0.491657,0.717615,0.563309,0.901795,0.905584,0.932096,0.896367,0.684592,0.701963,0.474644,0.952157,spectrum_fno48_floor6_smooth1_qc
run12_sparc_1316,sparc_1316,0.599565,0.475306,0.744703,0.552794,0.578918,0.475305,0.709531,0.550619,0.900629,0.902959,0.926259,0.896400,0.734590,0.699580,0.649614,0.974485,spectrum_fno48_floor6_smooth1_qc
run12_sparc_1319,sparc_1319,0.626470,0.562160,0.838736,0.529319,0.606104,0.561323,0.756574,0.526318,0.908965,0.911119,0.941626,0.908744,0.833698,0.597296,0.648868,0.896090,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1350,sparc_1350,0.656990,0.512817,0.812473,0.593982,0.604740,0.508643,0.724084,0.565442,0.900990,0.907529,0.933681,0.896983,0.691434,0.639896,0.416472,0.950155,spectrum_fno48_floor6_smooth1_qc
run12_sparc_1357,sparc_1357,0.736210,0.806426,0.839621,0.554027,0.671582,0.677330,0.783730,0.538355,0.874721,0.895417,0.933009,0.880211,0.778645,0.890979,0.783710,0.891620,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1360,sparc_1360,0.601817,0.599303,0.729301,0.487979,0.600816,0.598323,0.725413,0.482793,0.906528,0.904881,0.935201,0.903784,0.912464,0.655403,0.650565,0.919298,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1361,sparc_1361,0.571598,0.530993,0.752961,0.457601,0.559597,0.529572,0.713694,0.457555,0.908108,0.909013,0.931864,0.906609,0.934345,0.493881,0.766362,0.920390,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1362,sparc_1362,0.566142,0.488812,0.787292,0.448083,0.535859,0.484738,0.702338,0.443673,0.905744,0.906612,0.932008,0.906237,0.942989,0.520420,0.798958,0.954653,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1407,sparc_1407,0.953902,1.093336,1.393608,0.774609,0.770126,0.813387,0.908861,0.706637,0.937950,0.939889,0.950620,0.928504,0.878982,0.830316,0.849019,0.912369,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1408,sparc_1408,0.975467,0.997863,1.270448,0.798165,0.767374,0.779822,0.889170,0.707352,0.928454,0.929046,0.950544,0.919593,0.838206,0.750810,0.807036,0.848485,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1410,sparc_1410,0.797967,0.766199,0.906112,0.645993,0.685303,0.736498,0.851861,0.645547,0.896745,0.895703,0.881680,0.896387,0.941173,0.920292,0.871440,0.958982,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1414,sparc_1414,0.606344,0.538645,0.787484,0.559504,0.591727,0.529313,0.753885,0.550010,0.926476,0.921302,0.942454,0.927580,0.707753,0.586432,0.388788,0.882474,spectrum_fno48_floor6_smooth1_qc
run12_sparc_1421,sparc_1421,0.656969,0.662877,0.732804,0.550496,0.624883,0.647669,0.716969,0.543253,0.903686,0.901944,0.931613,0.902037,0.658392,0.672142,0.641682,0.876076,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1428,sparc_1428,1.032507,1.291248,1.660978,0.905671,0.778691,0.866541,0.965639,0.727200,0.772120,0.742404,0.810512,0.838801,0.712521,0.810146,0.799117,0.879522,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1504,sparc_1504,0.821828,0.998540,1.481276,0.750788,0.734404,0.813934,0.944930,0.708154,0.881758,0.903833,0.933591,0.881908,0.848255,0.765896,0.851504,0.918493,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1507,sparc_1507,1.096960,1.262111,1.544034,0.843967,0.786806,0.831527,0.928009,0.707245,0.938146,0.940897,0.951315,0.927579,0.885337,0.740905,0.804129,0.845225,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1509,sparc_1509,0.886651,1.067088,1.233290,1.054292,0.688196,0.755712,0.870081,0.696759,0.921441,0.921829,0.936519,0.916571,0.854860,0.739921,0.799512,0.888925,spectrum_fno48_floor6_smooth1_qc_peak4
run12_sparc_1516,sparc_1516,0.575326,0.499771,0.753692,0.517744,0.565945,0.494332,0.721636,0.517115,0.910010,0.908119,0.935015,0.915221,0.784109,0.463353,0.429194,0.879569,spectrum_fno48_floor6_smooth1_qc
run12_sparc_1521,sparc_1521,0.655781,0.670248,0.772466,0.529944,0.623719,0.657960,0.727587,0.519728,0.894281,0.889178,0.925142,0.894810,0.753958,0.763171,0.731478,0.861746,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1522,sparc_1522,0.639269,0.769743,0.885527,0.511696,0.608194,0.661815,0.758819,0.504549,0.903547,0.902125,0.931035,0.904728,0.764078,0.875460,0.826667,0.872874,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run12_sparc_1528,sparc_1528,0.838390,0.877990,1.104219,0.658220,0.767693,0.792940,0.917731,0.650218,0.930002,0.924840,0.952375,0.919022,0.678775,0.856927,0.775572,0.881339,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run13_sparc_1304,sparc_1304,1.099672,1.216958,1.427353,0.887040,0.883996,0.917278,0.945033,0.776623,0.890898,0.904897,0.929199,0.891119,0.961918,0.892767,0.953660,0.973385,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run13_sparc_1306,sparc_1306,1.091385,1.102426,1.262097,0.991850,0.926306,0.931345,0.963071,0.885102,0.769378,0.793486,0.827380,0.830017,0.947713,0.936270,0.912116,0.942454,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run13_sparc_1313,sparc_1313,1.140691,0.610068,1.090679,0.646173,0.876075,0.609655,0.829186,0.605011,0.898481,0.896736,0.936193,0.915985,0.879791,0.222270,0.897567,0.755052,spectrum_fno48_floor6_smooth1_qc
run13_sparc_1353,sparc_1353,0.921286,0.608123,0.841645,0.574429,0.839989,0.605665,0.794627,0.569010,0.884662,0.865617,0.923500,0.882626,0.813465,0.731310,0.730542,0.804008,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run13_sparc_1365,sparc_1365,0.815368,0.640612,1.267083,0.498865,0.726499,0.634107,0.887999,0.492377,0.862119,0.836115,0.810396,0.861310,0.929010,0.822046,0.982785,0.870768,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run13_sparc_1400,sparc_1400,1.242271,1.236508,1.024561,1.482577,0.999978,1.000000,0.915924,0.998627,0.969164,0.965352,0.977851,0.963573,0.926281,0.974267,0.851729,0.965568,spectrum_fno48_floor6_smooth1_qc_mhi100
run13_sparc_1407,sparc_1407,1.546895,1.215392,1.617530,1.367603,0.890639,0.861782,0.941894,0.869819,0.911549,0.908151,0.940343,0.909855,0.728334,0.712499,0.864474,0.924108,spectrum_fno48_floor6_smooth1_qc
run13_sparc_1410,sparc_1410,0.959493,0.705606,0.876161,0.544388,0.956470,0.693161,0.876045,0.544130,0.902176,0.916907,0.810797,0.893161,0.252165,0.640754,0.594568,0.614104,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run13_sparc_1413,sparc_1413,0.955240,0.643775,0.956320,0.538520,0.951624,0.623410,0.953940,0.538162,0.931415,0.930779,0.954028,0.922526,0.251430,0.628733,0.279924,0.651648,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run13_sparc_1417,sparc_1417,0.913535,0.619031,0.802382,0.582613,0.892777,0.616322,0.802077,0.581404,0.939628,0.932734,0.942173,0.926644,0.242498,0.643728,0.619046,0.650219,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run13_sparc_1421,sparc_1421,0.723359,0.673486,0.778099,0.606630,0.707224,0.672397,0.774325,0.606160,0.837510,0.922656,0.906284,0.902120,0.472096,0.619936,0.744428,0.790937,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run13_sparc_1422,sparc_1422,0.873685,0.631287,0.825779,0.547192,0.789186,0.597252,0.810641,0.546140,0.913147,0.892347,0.870185,0.869910,0.190663,0.652921,0.420856,0.738183,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run13_sparc_1425,sparc_1425,0.794778,0.911343,0.906456,0.766873,0.782759,0.896812,0.884498,0.766727,0.300505,0.169185,0.251196,-0.183376,0.985160,0.974498,0.984591,0.989257,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run13_sparc_1501,sparc_1501,0.662122,0.691343,0.781601,0.676103,0.660145,0.687502,0.769725,0.675349,0.888079,0.885006,0.937131,0.856025,0.925410,0.839609,0.844659,0.950287,spectrum_fno48_floor6_smooth1_qc_peak4
run13_sparc_1510,sparc_1510,0.960610,0.674260,0.874117,0.545263,0.958342,0.660012,0.870326,0.543507,0.923864,0.923305,0.802234,0.900347,0.251352,0.722909,0.600633,0.841167,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run13_sparc_1514,sparc_1514,0.954035,0.616119,0.898412,0.559033,0.950989,0.607378,0.885573,0.551968,0.940773,0.923358,0.931793,0.905186,0.251309,0.711658,0.330058,0.797652,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run13_sparc_1523,sparc_1523,0.829825,1.027753,1.023439,0.833436,0.798178,0.927658,0.987575,0.832933,0.757151,0.493683,0.106527,0.619954,0.556851,0.784545,0.984679,0.889932,spectrum_fno48_floor6_smooth1_qc_peak4
run13_sparc_1527,sparc_1527,1.063572,0.966959,1.319875,1.082617,0.818216,0.908160,0.907749,0.798774,0.885083,0.872194,0.923604,0.872083,0.844278,0.586959,0.788584,0.916016,spectrum_fno48_floor6_smooth1_qc
run14_sparc_1305,sparc_1305,0.673063,0.654483,0.741211,0.687374,0.665031,0.654386,0.727496,0.675001,0.919688,0.920740,0.950507,0.918315,0.928707,0.792949,0.908301,0.952244,spectrum_fno48_floor6_smooth1_qc
run14_sparc_1306,sparc_1306,0.739499,0.759990,0.852806,0.706512,0.694922,0.659823,0.780086,0.628463,0.888547,0.887009,0.913922,0.901668,0.802624,0.782550,0.962131,0.882683,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run14_sparc_1307,sparc_1307,0.712742,0.778953,0.768154,0.666359,0.684529,0.730163,0.755656,0.654288,0.894272,0.889148,0.915521,0.890711,0.903637,0.948885,0.939302,0.929999,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run14_sparc_1309,sparc_1309,1.540902,1.609052,1.787875,1.476352,0.958745,0.973479,0.988112,0.926335,0.829802,0.842835,0.603357,0.853933,0.929179,0.936019,0.969131,0.930147,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run14_sparc_1315,sparc_1315,0.812811,0.827316,0.840827,0.801747,0.812108,0.809571,0.839348,0.800970,0.911267,0.907015,0.931837,0.909206,0.932064,0.829046,0.916395,0.958484,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run14_sparc_1358,sparc_1358,0.719543,0.796018,0.750151,0.712683,0.630986,0.661203,0.661583,0.622446,0.914092,0.875835,0.934332,0.909362,0.757462,0.809547,0.756677,0.852183,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run14_sparc_1359,sparc_1359,0.771345,0.804443,0.827954,0.774465,0.700112,0.731862,0.702691,0.686595,0.897056,0.904180,0.939794,0.888407,0.859038,0.892946,0.828110,0.907928,spectrum_fno48_floor6_smooth1_qc_peak4
run14_sparc_1364,sparc_1364,0.916679,0.774315,0.829487,0.809103,0.839468,0.711633,0.717901,0.719028,0.902168,0.886150,0.925865,0.902238,0.913148,0.945209,0.957233,0.947450,spectrum_fno48_floor6_smooth1_qc
run14_sparc_1404,sparc_1404,0.696524,0.711134,0.723010,0.728851,0.649781,0.673949,0.720194,0.702949,0.934194,0.925934,0.944162,0.922755,0.924528,0.811031,0.875761,0.924249,spectrum_fno48_floor6_smooth1_qc_peak4
run14_sparc_1411,sparc_1411,0.701943,0.688146,0.724331,0.677826,0.701871,0.683325,0.724165,0.677686,0.910421,0.911197,0.938778,0.910439,0.869888,0.781885,0.818943,0.934575,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run14_sparc_1415,sparc_1415,0.831603,0.825430,0.868954,0.783333,0.829932,0.821283,0.849803,0.783333,0.897672,0.895470,0.922126,0.887185,0.963237,0.862993,0.941092,0.972266,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run14_sparc_1424,sparc_1424,0.760440,0.792305,0.830975,0.736261,0.733511,0.786909,0.771211,0.716010,0.884487,0.876614,0.880288,0.873965,0.872107,0.773740,0.890065,0.915237,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run14_sparc_1428,sparc_1428,0.757075,0.702424,0.746989,0.699832,0.685240,0.671837,0.744796,0.684627,0.903294,0.895516,0.891655,0.894275,0.939550,0.856459,0.960788,0.959155,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run14_sparc_1429,sparc_1429,0.808231,0.759545,0.777809,0.795917,0.769271,0.721086,0.777804,0.773705,0.928463,0.937631,0.941949,0.921637,0.969831,0.938789,0.972267,0.965166,spectrum_fno48_floor6_smooth1_qc
run14_sparc_1504,sparc_1504,0.652820,0.722320,0.727155,0.686932,0.650483,0.712417,0.727152,0.686795,0.933409,0.916657,0.950289,0.920817,0.904790,0.867830,0.839091,0.923602,spectrum_fno48_floor6_smooth1_qc_peak4
run14_sparc_1505,sparc_1505,0.670977,0.699741,0.735810,0.677938,0.665555,0.698054,0.723305,0.672724,0.918206,0.915347,0.942532,0.919130,0.955307,0.920429,0.938553,0.969439,spectrum_fno48_floor6_smooth1_qc_peak4
run14_sparc_1510,sparc_1510,0.789455,0.809764,0.806163,0.716972,0.761593,0.752007,0.793608,0.705803,0.920231,0.914260,0.940239,0.915477,0.837523,0.759669,0.871757,0.894830,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run14_sparc_1514,sparc_1514,0.673521,0.772828,0.777435,0.636552,0.652407,0.695609,0.702262,0.622072,0.923789,0.911687,0.944436,0.918871,0.844886,0.790703,0.817414,0.924481,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run14_sparc_1518,sparc_1518,0.627354,0.636273,0.757274,0.574705,0.615880,0.608922,0.678129,0.566807,0.915857,0.914302,0.940828,0.909507,0.821909,0.739138,0.723741,0.913227,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run14_sparc_1519,sparc_1519,0.794984,1.164479,0.965261,0.839228,0.678828,0.679855,0.662557,0.693482,0.888124,0.858621,0.904135,0.872360,0.966263,0.873630,0.878424,0.949827,spectrum_fno48_floor6_smooth1_qc_peak4
run14_sparc_1520,sparc_1520,0.845113,0.987930,0.775067,0.891578,0.767542,0.826489,0.713657,0.793335,0.884698,0.868864,0.916650,0.856448,0.935093,0.936551,0.903401,0.957969,spectrum_fno48_floor6_smooth1_qc_mhi100
run14_sparc_1522,sparc_1522,1.398347,1.579622,1.052435,1.259000,0.899808,0.900441,0.836761,0.864910,0.861590,0.834177,0.929969,0.847744,0.978001,0.966877,0.964374,0.962385,spectrum_fno48_floor6_smooth1_qc_mhi100
run14_sparc_1593,sparc_1593,0.592924,0.574843,0.668901,0.573788,0.588763,0.572506,0.666518,0.557080,0.956729,0.951189,0.970000,0.948675,0.819645,0.650108,0.716216,0.938752,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run15_sparc_1301,sparc_1301,0.562529,0.739536,0.790701,0.519763,0.561088,0.707000,0.707161,0.518895,0.895480,0.876385,0.927739,0.857243,0.845806,0.919952,0.702918,0.868916,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
